Excerpt_ID,Source,Similarity_to_query,Content
1,aa-Henry (2018).pdf,0.9292107098676504,"Both vaccines are indi-
cated for active immunization of children at least 9 months of age,
and can be given concomitantly, but at separate injection sites
[8,9].
GSK has developed a combined tetravalent measles-mumps-
rubella-varicella vaccine (MMRV; Priorix-Tetra) that offers conve-
nience for parents and medical practitioners by combining the
beneﬁts of measles-mumps-rubella and varicella vaccination in a
single injection, and would therefore improve the vaccine coverage
both against chickenpox and against measles, mumps and rubella.
Moreover, meningococcal vaccines could be co-administered with
MMRV at the same clinical visit [10]. The immunogenicity and
safety of the combined MMRV have been demonstrated in clinical
trials; MMRV was licensed based on comparative immunogenicity
trials versus monovalent varicella vaccines [11–13].
Phase A of this phase III, observer-blinded, randomized, con-
trolled, multicenter study (NCT00226499) assessed protection
against varicella in naive children who received two doses of
MMRV or one dose of monovalent varicella vaccine at 12–22
months of age. After a mean follow-up of approximately three
years, efﬁcacy of two doses of MMRV against all varicella was
94.9% (97.5% conﬁdence interval [CI]: 92.4–96.6), and against mod-
erate to severe varicella was 99.5% (97.5% CI: 97.5–99.9). Efﬁcacy of
one-dose varicella vaccine was 65.4% (97.5% CI: 57.2–72.1) against
all varicella and 90.7% (97.5% CI: 85.9–93.9) against moderate to
severe varicella [14].
We report the efﬁcacy, antibody persistence and safety data up
to six years after the second vaccine dose. Long term follow-up is
ongoing and will extend up to ten years post-vaccination.
2. Methods
2.1."
2,aa-Povey (2019).pdf,0.9146806528216823,"www.thelancet.com/infection   Vol 19   March 2019	
287
Articles
Protection against varicella with two doses of combined 
measles-mumps-rubella-varicella vaccine or one dose of 
monovalent varicella vaccine: 10-year follow-up of a 
phase 3 multicentre, observer-blind, randomised, 
controlled trial
Michael Povey, Ouzama Henry, Marianne A Riise Bergsaker, Roman Chlibek, Susanna Esposito, Carl-Erik Flodmark, Leif Gothefors, Sorin Man, 
Sven-Arne Silfverdal, Mária Štefkovičová, Vytautas Usonis, Jacek Wysocki, Paul Gillard, Roman Prymula
Summary
Background The duration of protection provided by varicella vaccines is unclear. We assessed the 10-year vaccine 
efficacy of two doses of a combined measles-mumps-rubella-varicella vaccine (MMRV), one live attenuated varicella 
vaccine (V) dose given after one measles-mumps-rubella vaccine (MMR) dose (MMR + V), versus two MMR doses 
(control vaccine) for the prevention of confirmed varicella.
Methods This was a phase 3b follow-up of an observer-blinded, randomised, controlled trial. In phase a, children aged 
12–22 months (at first vaccination) from Czech Republic (Czechia), Greece, Italy, Lithuania, Norway, Poland, Romania, 
Russia, Slovakia, and Sweden were randomly assigned by computer-generated randomisation list (3:3:1) to receive 
two doses of MMRV, one dose of MMR and one dose of varicella vaccine, or two doses of MMR, 42 days apart. 
Varicella cases were confirmed by detection of viral DNA, or epidemiological link and clinical assessment, by an 
independent data monitoring committee; disease severity was based on a modified Vázquez scale. Hazard ratios for 
MMRV and MMR + V versus MMR estimated in the per-protocol cohort using a Cox proportional hazards regression 
model were used to calculate vaccine efficacy and 95% CI. Serious adverse events were recorded throughout the study 
in all vaccinated children. Study objectives were secondary and descriptive."
3,aa-Henry (2018).pdf,0.9143832866294944,"Luis Provincial Specialist Children’s Hospital, Cracow, Poland
d Pediatric Clinic, Lithuanian University of Health Sciences, Kaunas, Lithuania
e Pharmacology, Saratov Medical University, Saratov, Russia
f Department of Health Sciences, Genoa University, Genoa, Italy
g Department of Epidemiology, Medical Faculty Pilsen of Charles University, Czech Republic
h Pediatrics, University of Medicine and Pharmacy, Bucharest, Romania
i Servizio di Igiene Pubblica, ASL Sassari, Italy
j Department of Medical Sciences, University of Ferrara, Ferrara, Italy
k Biostatistics, GSK, Wavre, Belgium
a r t i c l e
i n f o
Article history:
Received 30 June 2017
Received in revised form 29 November 2017
Accepted 30 November 2017
Available online 7 December 2017
Keywords:
Vaccine
Efﬁcacy
Long-term follow-up
Varicella-zoster virus
Measles-mumps-rubella
a b s t r a c t
Background: This phase III B follow-up of an initial multicenter study (NCT00226499) will evaluate the
ten-year efﬁcacy of two doses of the combined measles-mumps-rubella-varicella vaccine (MMRV) and
one dose of the live attenuated varicella vaccine (V) versus a measles-mumps-rubella control group
(MMR) for the prevention of clinical varicella disease. Here we present efﬁcacy results for six years
post-vaccination.
Methods: In phase A of the study, healthy children aged 12–22 months from ten European countries were
randomized (3:3:1) and received either two doses of MMRV, or one dose of combined MMR and one dose
of monovalent varicella vaccine (MMR+V), or two doses of the MMR vaccine (control), 42 days apart.
Vaccine efﬁcacy against all and against moderate or severe varicella (conﬁrmed by detection of viral
DNA or epidemiological link) was assessed from six weeks up to six years post-dose 2 for the MMRV
and MMR+V groups, and was calculated with 95% conﬁdence intervals (CI)."
4,aa‐Prymula (2014).pdf,0.9136167138990894,"MMR+V=measles-mumps-rubella combined vaccine plus monovalent varicella vaccine. MMR=measles-mumps-rubella combined vaccine only. *In the MMR+V group, reactions after dose 1 were to MMR and 
reactions after dose two were to V.
Table 3: Participants reporting solicited injection-site (local) symptoms up to 4 days after each dose and of fever up to 15 days after each dose in the reactogenicity subset
MedDRA system organ 
class21
Age 
(months)
Sex
Dose
Onset 
(days 
after 
dose)
Duration 
(days)
Intensity 
(grade)
MMRV
Febrile convulsion
Nervous system disorders
14
M
1
8
1
3
Febrile convulsion
Nervous system disorders
17
F
1
9
1
3
Febrile convulsion
Nervous system disorders
13
M
1
8
1
2
MMR+V
Herpes zoster*
Infections and infestations
17
F
1
24
36
1
Rash papular
Skin and subcutaneous 
tissue disorders
15
F
1
16
10
1
Bacterial infection
Infections and infestations
17
F
2
3
13
2
Peritonsillar abscess
Infections and infestations
18
M
2
6
21
3
MMR
Febrile convulsion
Nervous system disorders
15
M
1
8
1
3
Serious adverse events were recorded during the entire study period. MMRV=measles-mumps-rubella-varicella combined 
vaccine. MMR+V=measles-mumps-rubella combined vaccine plus monovalent varicella vaccine. MMR=measles-mumps-
rubella combined vaccine only. *This case was considered by IDMC but was not confirmed as herpes zoster."
5,aa-Povey (2019).pdf,0.9131519041254185,"MMR+V=live attenuated varicella vaccine after MMR. MMR=measles-mumps-rubella vaccine. HO=admitted to hospital. MD=medical personnel.
Table 3: Overview of serious adverse events related to vaccination in the total vaccinated cohort from day 0 to 10-years follow-up
Articles
www.thelancet.com/infection   Vol 19   March 2019	
295
40·7% (36·3–45·3), and 44·1% (38·8–49·4) of the 
MMRV, MMR + V, and MMR control groups reported 
losing time from work as a result of their child’s illness. 
The median time lost from work was 27 h in the MMRV 
group, 40 h in the MMR + V group, and 48 h in the MMR 
control group (appendix). The median time lost from 
planned activities, such as nursery, school, or day care 
reported by parents of children with confirmed varicella 
infection was 36 h in the MMRV group, 42 h in the 
MMR + V group, and 50 h in the MMR control group. 
The proportion of parents who stated that they would 
have contacted a physician regarding their child’s illness 
had they not been in a clinical trial was 69% in the 
MMRV group, 77% in the MMR + V group, and 82% in 
the MMR control group.
Discussion
In this phase 3b, long-term follow-up of an observer-
blind, controlled study of children randomly assigned 
(3:3:1) to receive two doses of MMRV, one dose of 
MMR + one dose of varicella vaccine, or two doses of 
MMR control during the second year of life, we describe 
the long-term vaccine efficacy for the prevention of 
varicella and the persistence of varicella zoster virus 
antibodies."
6,aa‐Prymula (2014).pdf,0.9128789248572511,"Articles
www.thelancet.com   Vol 383   April 12, 2014	
1313
Protection against varicella with two doses of combined 
measles-mumps-rubella-varicella vaccine versus one dose of 
monovalent varicella vaccine: a multicentre, observer-blind, 
randomised, controlled trial
Roman Prymula, Marianne Riise Bergsaker, Susanna Esposito, Leif Gothefors, Sorin Man, Nadezhda Snegova, Mária Štefkovičova, 
Vytautas Usonis, Jacek Wysocki, Martine Douha, Ventzislav Vassilev, Ouzama Nicholson, Bruce L Innis, Paul Willems
Summary
Background Rates of varicella have decreased substantially in countries implementing routine varicella vaccination. 
Immunisation is possible with monovalent varicella vaccine or a combined measles-mumps-rubella-varicella vaccine 
(MMRV). We assessed protection against varicella in naive children administered one dose of varicella vaccine or two 
doses of MMRV.
Methods This study was done in ten European countries with endemic varicella. Healthy children aged 12–22 months 
were randomised (3:3:1 ratio, by computer-generated randomisation list, with block size seven) to receive 42 days apart 
(1) two doses of MMRV (MMRV group), or (2) MMR at dose one and monovalent varicella vaccine at dose two (MMR+V 
group), or (3) two doses of MMR (MMR group; control). Participants and their parents or guardians, individuals 
involved in assessment of any outcome, and sponsor staff involved in review or analysis of data were masked to 
treatment assignment. The primary efficacy endpoint was occurrence of confirmed varicella (by detection of varicella 
zoster virus DNA or epidemiological link) from 42 days after the second vaccine dose to the end of the first phase of the 
trial. Cases were graded for severity. Efficacy analyses were per protocol. Safety analyses included all participants who 
received at least one vaccine dose. This trial is registered with ClinicalTrials.gov, number NCT00226499."
7,bb‐Ahlgren (2009).pdf,0.9108011345309435,"Child health and school health records
Information about infections with measles, mumps, rubella
and varicella and vaccinations against these diseases was
collected from child health and school health records.
Vaccination categories
Vaccines against measles, mumps, and rubella were
administered as vaccinations containing monovalent vac-
cine strains or as vaccinations with the trivalent MMR
vaccine, i.e. the combination of measles, mumps and rubella
vaccine strains. Measles, mumps, and rubella vaccinations
were either ‘‘early’’, i.e. before or at 10 years, or ‘‘late’’, i.e.
after 10 years. The rationale for this division was that the
majority of the vaccinations were given around age
12 years (90%), or at ages 1–8 years (54%). Less than 3%
of the vaccinations were given at other ages (Table 3). The
ﬁrst analysis was performed on the entire study material of
vaccinations with monovalent or combined measles, mumps
and rubella vaccines. We deﬁned three disjointed catego-
ries of vaccinations: ‘No vaccination’, ‘Early vaccination
only’, and ‘Late vaccination’. The group of individuals who
received ‘‘late’’ vaccination ([10 years of age) also inclu-
ded those who had received both a late and a prior early
vaccination. The group of individuals vaccinated ‘‘early
only’’ was restricted to those vaccinated below or at
10 years of age. The major part of the entire material was
MMR vaccinations. The second analysis was therefore
restricted to the subgroup of the MMR vaccinations. Four
disjointed vaccination categories: ‘No MMR vaccination’,
‘Early MMR vaccination only’, ‘Late MMR vaccination
only’, and ‘Both an early and a late MMR vaccination’ were
deﬁned. Comparisons were made within the group of MMR
vaccinations.
Validation
The proportion of MS patients for whom information about
their history of measles, mumps, rubella and varicella
infections was available from both the questionnaire and
from the child health and school health record was 35.2%
of the total number of questionnaire responders."
8,aa-Henry (2018).pdf,0.9102047900229636,"[7] Bonanni P, Breuer J, Gershon A, Gershon M, Hryniewicz W, Papaevangelou V,
et al. Varicella vaccination in Europe – taking the practical approach. BMC Med
2009;7:26.
[8] EMA. Priorix – summary of product characteristics. Available at <http://www.
ema.europa.eu/docs/en_GB/document_library/Referrals_document/Priorix_
30/WC500124199.pdf> [accessed Feb 2017].
[9] Varilrix.
Product
information.
Available
at
<https://au.gsk.com/media/
265139/varilrix_pi_008_approved.pdf> [accessed Feb 2017].
[10] Durando P, Esposito S, Bona G, Cuccia M, Desole MG, Ferrera G, et al. The
immunogenicity and safety of a tetravalent measles-mumps-rubella-varicella
vaccine when co-administered with conjugated meningococcal C vaccine to
healthy children: a phase IIIb, randomized, multi-center study in Italy. Vaccine
2016;34:4278–84.
[11] Goh P, Lim FS, Han HH, Willems P. Safety and immunogenicity of early
vaccination with two doses of tetravalent measles-mumps-rubella-varicella
(MMRV) vaccine in healthy children from 9 months of age. Infection
2007;35:326–33.
[12] Knuf M, Habermehl P, Zepp F, Mannhardt W, Kuttnig M, Muttonen P, et al.
Immunogenicity and safety of two doses of tetravalent measles-mumps-
rubella-varicella vaccine in healthy children. Pediatr Infect Dis J 2006;25:12–8.
[13] Lalwani S, Chatterjee S, Balasubramanian S, Bavdekar A, Mehta S, Datta S, et al.
Immunogenicity and safety of early vaccination with two doses of a combined
measles-mumps-rubella-varicella vaccine in healthy Indian children from 9
months of age: a phase III, randomised, non-inferiority trial."
9,aa‐Prymula (2014).pdf,0.9101544416435753,"http://www.kenes.com/espid09/abstracts/
pdf/870.pdf (accessed June 12, 2012).
24	
Klein NP, Fireman B, Yih WK, et al. Measles-mumps-rubella-
varicella combination vaccine and the risk of febrile seizures. 
Pediatrics 2010; 126: e1–8.
25	 Czajka H, Schuster V, Zepp F, Esposito S, Douha M, Willems P. 
A combined measles, mumps, rubella and varicella vaccine 
(Priorix-Tetra): immunogenicity and safety profile. Vaccine 2009; 
27: 6504–11.
26	 Gillet Y, Steri GC, Behre U, et al. Immunogenicity and safety of 
measles-mumps-rubella-varicella (MMRV) vaccine followed by one 
dose of varicella vaccine in children aged 15 months–2 years or 
2–6 years primed with measles-mumps-rubella (MMR) vaccine. 
Vaccine 2009; 27: 446–53.
27	
Kreth HW, Lee BW, Kosuwon P, et al. Sixteen years of global 
experience with the first refrigerator-stable varicella vaccine 
(Varilrix). BioDrugs 2008; 22: 387–402.
28	 Li S, Chan IS, Matthews H, et al. Inverse relationship between 
six week postvaccination varicella antibody response to vaccine and 
likelihood of long term breakthrough infection. Pediatr Infect Dis J 
2002; 21: 337–42.
29	 Schuster V, Otto W, Maurer L, et al. Immunogenicity and safety 
assessments after one and two doses of a refrigerator-stable 
tetravalent measles-mumps-rubella-varicella vaccine in healthy 
children during the second year of life. Pediatr Infect Dis J 2008; 
27: 724–30.
30	 Dhillon S, Curran MP. Live attenuated measles, mumps, rubella, 
and varicella zoster virus vaccine (Priorix-Tetra)."
10,aa-Henry (2018).pdf,0.9099584278091377,"Vaccine 36 (2018) 381–387
Contents lists available at ScienceDirect
Vaccine
journal homepage: www.elsevier.com/locate/vaccine
i
An update to this article is included at the end
Conclusions: Two doses of the MMRV vaccine and one dose of the varicella vaccine remain efﬁcacious
through six years post-vaccination.
 2017 GlaxoSmithKline SA. Published by Elsevier Ltd. This is an open access article under the CC BY license
(http://creativecommons.org/licenses/by/4.0/).
1. Introduction
Varicella (chickenpox), caused by the varicella-zoster virus
(VZV), is a highly contagious vaccine-preventable disease, respon-
sible for 4.2 million hospitalizations and 4200 deaths annually,
worldwide [1]. In countries where universal vaccination was intro-
duced, the incidence of varicella cases, including hospitalizations
and deaths, has substantially declined [2–5].
An important aspect in the design of universal immunization
programs against varicella is the number of doses. While one-
dose schedules were shown to be effective against the disease,
breakthrough cases were still reported [2–6]. Out of the 33 coun-
tries that recommended varicella containing vaccines, 14 recom-
mended a two-dose schedule. Another important aspect is the
choice of vaccine, i.e. monovalent or combined varicella vaccine.
Improved
uptake
rates
might
be
achieved
by
the
co-
administration of varicella-containing vaccines with routine child-
hood vaccines or with the use of combined varicella-containing
vaccines [7].
GSK’s trivalent measles-mumps-rubella vaccine (MMR; Priorix)
and the monovalent live attenuated varicella vaccine (V; Varilrix)
are licensed in many countries worldwide. Both vaccines are indi-
cated for active immunization of children at least 9 months of age,
and can be given concomitantly, but at separate injection sites
[8,9]."
