Excerpt_ID,Source,Similarity_to_query,Content
1,ERA-1.pdf,0.9036014317734498,"Hormone therapy to prevent dis-
ease and prolong life in postmenopausal women. Ann Intern Med 1992;
117:1016-37.
5. Grodstein F, Stampfer MJ, Manson JE, et al. Postmenopausal estrogen 
and progestin use and the risk of cardiovascular disease. N Engl J Med 
1996;335:453-61. [Erratum, N Engl J Med 1996;335:1406.]
6. Mendelsohn ME, Karas RH. The protective effects of estrogen on the 
cardiovascular system. N Engl J Med 1999;340:1801-11.
7. Gerhard M, Ganz P. How do we explain the clinical benefits of estro-
gen? From bedside to bench. Circulation 1995;92:5-8.
8. Hulley S, Grady D, Bush T, et al. Randomized trial of estrogen plus 
progestin for secondary prevention of coronary heart disease in postmeno-
pausal women. JAMA 1998;280:605-13.
9. Bush TL. Lessons from HERS: the null and beyond. J Womens Health 
1998;7:781-3.
10. Ong P, Sorensen MB, Hayward CS, Webb CM, Collins P. Hormone 
replacement therapy for secondary prevention of coronary heart disease. 
JAMA 1999;281:794-5.
11. Wenger NK. Cardioprotection for the postmenopausal women: HERS 
results and their implications. Prev Cardiol 1998;1:9-11.
12. Herrington DM. The HERS trial results: paradigms lost? Ann Intern 
Med 1999;131:463-6.
13. Herrington DM, Reboussin DR, Klein KP, et al. The Estrogen Re-
placement and Atherosclerosis (ERA) study: study design and baseline 
characteristics of the cohort. Control Clin Trials 2000;21:257-85.
14. Grady D, Applegate W, Bush T, Furberg C, Riggs B, Hulley SB."
2,WAWE.pdf,0.9032051491975752,"ORIGINAL CONTRIBUTION
Effects of Hormone Replacement Therapy and
Antioxidant Vitamin Supplements on Coronary
Atherosclerosis in Postmenopausal Women
A Randomized Controlled Trial
David D. Waters, MD
Edwin L. Alderman, MD
Judith Hsia, MD
Barbara V. Howard, PhD
Frederick R. Cobb, MD
William J. Rogers, MD
Pamela Ouyang, MD
Paul Thompson, MD
Jean Claude Tardif, MD
Lyall Higginson, MD
Vera Bittner, MD
Michael Steffes, MD, PhD
David J. Gordon, MD, PhD
Michael Proschan, PhD
Naji Younes, PhD
Joel I. Verter, PhD
I
N NUMEROUS OBSERVATIONAL STUD-
iesoverthepast30years,postmeno-
pausal estrogen replacement
therapy, with or without a proges-
tin,hasbeenconsistentlyassociatedwith
a reduced risk of coronary events, both
in women with and without evidence of
coronary disease.1-5 Estrogen exerts ben-
eficial effects on blood lipids, low-
densitylipoprotein(LDL)oxidation,vas-
cular function, and on some aspects of
thecoagulationsystem.6Yethormonere-
placementtherapy(HRT)wasnotshown
to be beneficial in the only 2 random-
ized, placebo-controlled trials of post-
menopausal women with coronary dis-
ease.7-9 Furthermore, the only large
primary prevention trial of HRT re-
Author Affiliations are listed at the end of this article.
Corresponding Author and Reprints: David D.
Waters, MD, Division of Cardiology, Room 5G1, San
Francisco General Hospital, 1001 Potrero Ave, San
Francisco, CA 94110 (e-mail: dwaters@medsfgh.ucsf
.edu).
Context Hormone replacement therapy (HRT) and antioxidant vitamins are widely
used for secondary prevention in postmenopausal women with coronary disease, but
no clinical trials have demonstrated benefit to support their use.
Objective To determine whether HRT or antioxidant vitamin supplements, alone or
in combination, influence the progression of coronary artery disease in postmeno-
pausal women, as measured by serial quantitative coronary angiography."
3,WHI-2002-3.pdf,0.9025282161188045,"Downloaded From: http://jama.jamanetwork.com/ on 05/15/2015
14. Grodstein F, Manson JE, Colditz GA, Willit WC,
Speizer FE, Stampfer MJ. A prospective, observa-
tional study of postmenopausal hormone therapy and
primary prevention of cardiovascular disease. Ann In-
tern Med. 2000;133:933-941.
15. The Writing Group for the PEPI Trial. Effects of
hormone replacement therapy on endometrial histol-
ogy in postmenopausal women: the Postmeno-
pausal Estrogen/Progestin Interventions (PEPI) Trial.
JAMA. 1996;275:370-375.
16. Ives DG, Fitzpatrick AL, Bild DE, et al. Surveil-
lance and ascertainment of cardiovascular events: the
Cardiovascular Health Study. Ann Epidemiol. 1995;
5:275-285.
17. Cox DR. Regression analysis and life tables. J R
Stat Soc. 1972;34:187-220.
18. O’Brien PC, Fleming RT. A multiple testing pro-
cedure for clinical trials. Biometrics. 1979;35:549-
556.
19. Freedman LS, Anderson G, Kipnis V, et al. Ap-
proaches to monitoring the results of long-term dis-
ease prevention trials: examples from the Women’s
Health Initiative. Control Clin Trials. 1996;17:509-
525.
20. Gail MH, Brinton LA, Byar DP, et al. Projecting
individualized probabilities of developing breast can-
cer for white females who are being examined annu-
ally. J Natl Cancer Inst. 1989;81:1879-1886.
21. Pilon D, Castilloux AM, Lelorier J. Estrogen re-
placement therapy: determinants of persistence with
treatment. Obstet Gynecol. 2001;97:97-100.
22. Writing Group for the PEPI Trial. Effects of estro-
gen or estrogen/progestin regimens on heart disease
risk factors in postmenopausal women. JAMA. 1995;
273:199-208.
23."
4,HALL.pdf,0.901829150257654,"Among the 14 women who discontinued, two patients had
TIA (patch), one experienced palpitations (CEE) and one woman died from myocardial infarction (placebo). Overall
improvement in mood and cognitive functions were reported in all three treatment groups. Conclusions: HRT does
not seem to have negative effects on symptoms of angina pectoris and seems to increase quality of life in older women
with coronary heart disease. It also seems safe from the cardiovascular point of view. © 1998 Elsevier Science Ireland
Ltd. All rights reserved.
Keywords: Hormone replacement therapy; Coronary artery disease; Symptoms of angina pectoris; Quality of life;
Compliance
* Corresponding author. Tel.: +46 8 51770000; fax: +46 8 318114.
0378-5122/98/$19.00 © 1998 Elsevier Science Ireland Ltd. All rights reserved.
PII S0378-5122(97)00080-7
G. Hall et al. / Maturitas 28 (1998) 235–242
236
1. Introduction
One of the earliest positive reports of the effects
of estrogen on the cardiovascular system was a
study
in
estrogen
depleted
female
oophorec-
tomized cynomolgous monkeys. They were all on
cholesterol-rich diet and those given estrogen re-
placement therapy developed much less coronary
artheromathosis compared with the others [1].
After that, several reports from large observa-
tional and epidemiological studies show that hor-
monal replacement therapy (HRT) to healthy
postmenopausal women has beneﬁcial effects on
morbidity and mortality in coronary artery dis-
ease
[2,3].
However,
data
from
randomized
prospective placebo controlled studies are still
missing. Recent retrospective data has pointed out
a slightly increased risk of venous thromboem-
bolism in women using HRT [4–6]. Furthermore,
it is well known that HRT has a positive effect on
quality of life, such as well-being, vasomotor
symptoms, sleeping disturbances and cognitive
functions in climacteric women [7,8]."
5,SPRIT (2002).pdf,0.8996947557093279,"Lancet 2002; 360: 2001–08. Published online Dec 17, 2002
http://image.thelancet.com/extras/02art11268web.pdf
See Commentary page 1996
*Members listed at end of report
Correspondence to: Dr Nicola Cherry, Department of Public Health
Sciences, University of Alberta, Edmonton, Alberta T6G 2G3, Canada
(e-mail: nicola.cherry@ualberta.ca)
Introduction
Data 
from 
observational 
studies 
suggest 
that 
hormone replacement therapy (HRT) reduces the risk of
coronary heart disease. Results of a meta-analysis1
indicate a relative risk of 0·70 for ever users of oestrogen
as HRT, with a slightly lower risk (0·66) for users of
combined therapy (oestrogen plus progestagen). Such
risk reductions seem plausible, since studies show
potentially advantageous changes in lipid profiles,2,3
vessel 
walls,4
fibrinogen 
and 
antithrombin 
III
concentrations,5,6 and insulin secretion7 in women on
HRT. However, possibly unfavourable effects, such as
altered triglyceride8 and factor VII concentrations,9 have
also been reported. Studies that used angiography or
carotid ultrasonography have provided contradictory
evidence. Increased survival in ever users of oestrogen
with greater than 70% coronary artery stenosis was noted
in 
one 
observational 
study.10
Findings 
of 
three
randomised trials,11–14 however, showed no beneficial
effect on progression of coronary arteriosclerosis,
although those of another trial15 indicated a slower rate of
progression 
in 
healthy 
postmenopausal 
women 
who took unopposed oestrogen (17 oestradiol) rather
than placebo. Results of a small trial16 indicate no effect
of conjugated oestrogen on recurrence of ischaemic
events."
6,SPRIT (2002).pdf,0.8983759817528132,"Maturitas 2001; 41: 51–60.
14 Waters DD, Alderman EL, Hsia J, et al. Effects of hormone
replacement therapy and antioxidant vitamin supplements on
coronary atherosclerosis in postmenopausal women: a randomized
controlled trial. JAMA 2002; 288: 2432–40.
15 Hodis HN, Mack WJ, Lobo RA, et al. Estrogen in the prevention of
atherosclerosis: a randomized, double-blind, placebo-controlled trial.
Ann Intern Med 2001; 135: 939–53.
16 Schulman SP, Thiemann DR, Ouyang P, et al. Effects of 
acute hormone therapy on recurrent ischemia in postmenopausal
women with unstable angina. J Am Coll Cardiol 2002; 39:
231–37.
17 Hulley S, Grady D, Bush T, et al. Randomized trial of estrogen plus
progestin for secondary prevention of coronary heart disease in
postmenopausal women. JAMA 1998; 280: 605–13.
ARTICLES
THE LANCET • Vol 360 • December 21/28, 2002 • www.thelancet.com
2007
For personal use. Only reproduce with permission from The Lancet Publishing Group.
18 Grady D, Herrington D, Bittner V, et al. Cardiovascular disease
outcomes during 6·8 years of hormone therapy: Heart and
Estrogen/Progestin Replacement Study Follow-up (HERS II).
JAMA 2002; 288: 49–57.
19 Clarke SC, Kelleher J, Lloyd-Jones H, Slack M, Schofiel PM. A
study of hormone replacement therapy in postmenopausal women
with ischaemic heart disease: the Papworth HRT atherosclerosis
study. Br J Obstet Gynaecol 2002; 109: 1056–62.
20 Viscoli CM, Brass LM, Kernan WN, Sarrel PM, Suissa S, Horwitz
RI. A clinical trial of estrogen-replacement therapy after ischemic
stroke. N Engl J Med 2001; 345: 1243–49.
21 Writing Group for the Women’s Health Initiative Investigators."
7,WEST.pdf,0.8966319224110543,"8,9
 
In 1998, the findings of the first placebo-controlled,
randomized clinical trial of hormone-replacement
therapy for the secondary prevention of cardiac disease
in postmenopausal women, the Heart and Estrogen/
Progestin Replacement Study (HERS), were reported.
Surprisingly, daily therapy with conjugated estrogen
A
 
and progestin did not reduce the incidence of coro-
nary events or death from any cause during four years
of follow-up.
 
10
 
When that study began, epidemiologic research
also suggested that estrogen might protect against
stroke,
 
11-14
 
 although this evidence was less consistent
than that for protection against coronary heart disease.
Some studies reported no effect of estrogen use on
the risk of stroke,
 
15-22
 
 and two large cohort studies re-
ported an increased risk.
 
23,24
 
 Our study, the Women’s
Estrogen for Stroke Trial, was designed in 1993 as a
randomized, placebo-controlled trial of estrogen re-
placement for the secondary prevention of cerebrovas-
cular disease. The primary end point was death from
any cause or nonfatal stroke; secondary outcomes were
transient ischemic attack and nonfatal myocardial in-
farction. Other prespecified analyses included the ef-
fect of estrogen on the rate of death alone, the inci-
dence of stroke alone, the severity of recurrent strokes,
and the incidence of cardiac events.
 
METHODS
 
Study Participants
 
A description of the design and methods of our study has been
reported previously.
 
25
 
 We enrolled postmenopausal women older
than 44 years of age within 90 days after a qualifying ischemic
stroke or transient ischemic attack. Women were recruited between
December 1993 and May 1998. Women were excluded if their in-
dex event was disabling (had a severity score greater than 5 on the
scale used in the North American Symptomatic Carotid Endarter-
ectomy Trial
 
26
 
) or if it occurred while the woman was taking es-
trogen. Women were considered postmenopausal if they had had
amenorrhea for at least 12 months or if they had undergone hys-
terectomy and were older than 55 years of age."
8,EPAT.pdf,0.8952644828258453,"In those studies, the
cardiovascular effects of HRT may have been masked by
or added no beneﬁt over the effects of the other event-
reducing therapies. Comparison of EPAT participants
who received lipid-lowering medication and ERT with
participants who received ERT but no lipid-lowering
medication conﬁrms this idea. Subanalyses of other
nonrandomized treatment regimens have not yet been
reported in HERS or ERA.
Although observational data indicate that HRT is
associated with a lower incidence of coronary heart dis-
ease in postmenopausal women, most of these data are
associations with unopposed ERT in women without
symptomatic coronary heart disease (5, 6). The observa-
tional arterial imaging studies that support an HRT-
related reduction of atherosclerosis have studied unop-
posed ERT (26–32).
Unopposed ERT inhibited development of athero-
sclerosis in several animal models (45–48). It is conceiv-
able that HRT in general, and unopposed ERT speciﬁ-
cally, may be most effective as primary prevention, when
atherosclerosis is in its early stages, rather than as sec-
ondary prevention, when atherosclerosis is in a later,
established phase. In other words, ERT may be effective
in the prevention rather than the treatment of athero-
sclerosis. This notion is consistent with the possible
proinﬂammatory effects of estrogen. Estrogen increases
levels of C-reactive protein (49–52), a marker of under-
lying inﬂammation that is associated with cardiovascular
events in women (53). Estrogen may reduce early pre-
intrusive atherosclerosis in healthy women but not car-
diovascular events if it promotes arterial thrombosis or
atherosclerotic plaque destabilization in women with es-
tablished cardiovascular disease. This scenario appears
to be consistent with the early events reported in
HERS (40).
It is unclear whether sequential therapy with
medroxyprogesterone acetate or other progestational
agents would result in a different clinical outcome than
that seen with continuous combined therapy in HERS
and ERA."
9,HERS-1.pdf,0.8950519408873758,"Controlled Clin Trials 1998;19:314–335
Elsevier Science Inc. 1998
KEY WORDS: Coronary heart disease, postmenopausal hormone therapy
INTRODUCTION
Coronary heart disease (CHD) is the most common cause of mortality in
women over 50 years of age in the United States [1]. A 50-year-old woman
today has about a 46% lifetime probability of developing CHD and a 31%
chance of dying from it [2]. Many observational studies have found that oral
postmenopausal estrogen therapy is associated with a 35–50% reduction in risk
of CHD [2–4]. The apparent protective effect of estrogen therapy may be even
stronger in women who already have CHD [5].
The reported association between postmenopausal estrogen therapy and
reduced CHD risk, though consistent, biologically plausible, and strong, could
be confounded if women taking estrogen have a more favorable cardiovascular
risk proﬁle than nonusers [6, 7]. Only a comparison of hormone use and placebo
in women who are randomly assigned to therapy can provide deﬁnitive evi-
dence that treatment reduces the risk of CHD. We are therefore conducting
the Heart and Estrogen/progestin Replacement Study (HERS), a randomized,
double-blind trial of the effect of estrogen plus progestin therapy on the fre-
quency of sudden cardiac death and myocardial infarction among postmeno-
pausal women with known CHD.
METHODS
Participants
Participants in the HERS are 2763 postmenopausal women <79 years old
who have a uterus and who have CHD evidenced by prior myocardial in-
farction, coronary artery bypass graft surgery, mechanical revascularization,
or angiographic evidence of at least a 50% occlusion of one or more major
coronary arteries.
Women were excluded if their reported CHD event had occurred within 6
months of randomization, if they had used postmenopausal hormone therapy
within 3 months of the initial screening, if hormone therapy was thought to
be contraindicated, if they were participating in another trial, or if they were
thought to be unlikely to adhere to the protocol (Table 1).
Women of any race were included."
10,HERS-3.pdf,0.8934766446521397,"Postmenopausal estrogen
and progestin use and the risk of cardiovascular disease. N Engl J Med.
1996;335:453–461.
11. Grodstein F, Stampfer MJ, Colditz GA, et al. Postmenopausal hormone
therapy and mortality. N Engl J Med. 1997;336:1769–1775.
12. Pedersen AT, LidegaardØ, Kreiner S, et al. Hormone replacement therapy
and risk of non-fatal stroke. Lancet. 1997;350:1277–1283.
13. Petitti DB, Sidney S, Quesenberry CP, et al. Ischemic stroke and use of
estrogen and estrogen/progestogen as hormone replacement therapy.
Stroke. 1998;29:23–28.
14. Fung MM, Barrett-Connor E, et al. Hormone replacement therapy and
stroke risk in older women. J Womens Health. 1999;8:359–364.
15. Grodstein F, Stampfer MJ, Falkeborn M, et al. Postmenopausal hormone
therapy and risk of cardiovascular disease and hip fracture in a cohort of
Swedish women. Epidemiology. 1999;5:476–480.
16. Posthuma WFM, Westendorp RGJ, Vandenbroucke JP. Cardioprotective
effect of hormone replacement therapy in postmenopausal women: is the
evidence biased? BMJ. 1994;308:308–309.
17. Sturgeon SR, Schairer C, Brinton LA, et al. Evidence of a healthy
estrogen user survivor effect. Epidemiology. 1995;6:227–231.
18. Hulley S, Grady D, Bush T, et al. Randomized trial of estrogen plus
progestin for secondary prevention of coronary heart disease in post-
menopausal women. JAMA. 1998;280:605–613.
19. Hulley S, Grady D, Vittinghoff E, et al. Hormone replacement therapy for
secondary prevention of coronary heart disease. JAMA. 1999;281:
796–797. Letter."
