Excerpt_ID,Source,Similarity_to_query,Content
1,Aydinuraz (2016).pdf,0.919675473933176,"doi:10.1038/cddis.
2015.263.
Moaz, M.N., Khattab, S., Foutouh, I.A., & Mohsen, E.A. (2006).
Chemical activation of oocytes in different types of sperm
abnormalities in cases of low or failed fertilization after
ICSI: A prospective pilot study. Reproductive Biomedicine
Online, 13, 791–794.
doi: http://dx.doi.org/10.1016/S1472-
6483(10)61025-5.
Montag, M., K€oster, M., van der Ven, K., Bohlen, U., & van der
Ven, H. (2012). The benefit of oocyte activation is depend-
ent on the fertilization rate in a previous treatment cycle.
Reproductive Biomedicine Online, 24, 521–526.
doi: http://
dx.doi.org/10.1016/j.rbmo.2012.02.002.
Nasr-Esfahani, M.H., Deemeh, M.R., & Tavalaee, M. (2010).
Artificial oocyte activation and intracytoplasmic sperm
injection. Fertility and Sterility, 94, 520–526. doi: http://dx.
doi.org/10.1016/j.fertnstert.2009.03.061.
Nasr-Esfahani, M.H., Razavi, S., Javdan, Z., & Tavalaee, M.
(2008). Artificial oocyte activation in severe teratozoosper-
mia undergoing intracytoplasmic sperm injection. Fertility
and Sterility, 90, 2231–2237.
doi: http://dx.doi.org/10.
1016/j.fertnstert.2007.10.047.
Nasr-Esfahani, M.H., Razavi, S., Mardani, M., Shirazi, R., &
Javanmardi, S. (2007). Effects of failed oocyte activation
and sperm protamine deficiency on fertilization post-ICSI.
Reproductive Biomedicine Online, 14, 422–429."
2,Aydinuraz (2016).pdf,0.9111231067231088,"Our study indicates that
AOA may not improve fertilization rates after IMSI and may even reduce the ability of a success-
fully fertilized oocyte to develop into a top quality embryo. AOA should, therefore, be applied to
cases with a defined oocyte activating deficiency.
ARTICLE HISTORY
Received 24 March 2016
Accepted 20 June 2016
KEYWORDS
Oocyte; fertilization;
intracytoplasmic sperm
injection (ICSI)
Introduction
Since the introduction of intracytoplasmic sperm injec-
tion
(ICSI)
into
assisted
reproductive
technologies
(ARTs), there have been numerous studies on the
effects of the male gamete regarding its morphology,
quality and capacity to activate the oocyte for success-
ful fertilization (Berkovitz et al., 2006; Moaz, Khattab,
Foutouh,
&
Mohsen,
2006;
Nasr-Esfahani,
Razavi,
Mardani, Shirazi, & Javanmardi, 2007). Since complete
fertilization failures and low or moderate fertilization
rates are still common in ART practice, sperm selection
and oocyte activation are points of interest for improv-
ing clinical outcomes in male factor infertility (De Vos
et al., 2003; Dozortsev & Nasr-Esfahani, 2012; Ebner
et al., 2012).
Intracytoplasmic injection of spermatozoa selected
according to fine morphology under high magnifica-
tion (intracytoplasmic morphologically selected sperm
injection, IMSI) is used to identify a morphologically
normal spermatozoon by precise measurement of
length and width of the sperm head and vacuoles.
This technique has been used to improve assisted
reproduction outcomes in cases of male factor infertil-
ity, in terms of improved fertilization rates and ART
outcome (Antinori et al., 2008; Balaban et al., 2011;
Berkovitz et al., 2006; De Vos et al., 2013).
The oocyte activating ability of the spermatozoon is
a critical factor for fertilization."
3,Aydinuraz (2016).pdf,0.9108355278273873,"Submit your article to this journal 
View related articles 
View Crossmark data
ORIGINAL ARTICLE
Artificial oocyte activation after intracytoplasmic morphologically selected
sperm injection: A prospective randomized sibling oocyte study
Batu Aydinuraza
, Enver Kerem Diricanb
, Safak Olganb
, Ozlem Aksungerc and Onur Kadir Erturkb
aIVF Unit, Private Gelecek Center for Assisted Reproductive Technologies, Antalya, Turkey; bIVF Unit, Department of Obstetrics and
Gynecology, Faculty of Medicine, Akdeniz University, Antalya, Turkey; cIVF Unit, Division of Obstetrics and Gynecology, Memorial
Antalya Hospital, Antalya, Turkey
ABSTRACT
This study aimed to evaluate the effect of artificial oocyte activation (AOA) by calcium ionophore
after intracytoplasmic morphologically selected sperm injection (IMSI) on fertilization, cleavage
rate and embryo quality. A total of 194 oocytes from 21 cycles from women with a history of
low fertilization rate accompanying teratozoospermia were enrolled over a 3-month period.
Mature oocytes from each patient were randomly allocated into two groups after IMSI. In the
study group, half of the patients’ oocytes (n ¼ 97) were exposed to AOA, and in the control
group (n ¼ 97), AOA was not applied. The mean number of mature oocytes, fertilization and
cleavage rates were similar between the study and control groups (p > 0.05 for each). However,
fertilized oocytes of the AOA group were less likely to produce top quality embryos when calcu-
lated per fertilized oocyte (28/80; 35.0% versus 38/71; 53.5%, respectively; p ¼ 0.024) and also
per cycle (13/21; 61.9% versus 20/21; 95.24%, respectively; p ¼ 0.006). Our study indicates that
AOA may not improve fertilization rates after IMSI and may even reduce the ability of a success-
fully fertilized oocyte to develop into a top quality embryo."
4,Vanden Meerschaut (2012).pdf,0.9100836600977075,"Fertil Steril 2009;
91:133–139.
Mouzon J, Goossens V, Bhattacharya S, Castilla JA, Ferraretti AP, Korsak V,
Kupka M, Nygren KG, Nyboe Andersen A. Assisted reproductive
technology
in
Europe,
2006:
results
generated
from
European
registers by ESHRE. European IVF-monitoring (EIM) Consortium, for
the European Society of Human Reproduction and Embryology
(ESHRE). Hum Reprod 2010;25:1851–1862.
Murase Y, Araki Y, Mizuno S, Kawaguchi C, Naito M, Yoshizawa M,
Araki Y. Pregnancy following chemical activation of oocytes in a
couple with repeated failure of fertilization using ICSI: case report.
Hum Reprod 2004;19:1604–1607.
Nasr-Esfahani MH, Deemeh MR, Tavalaee M. Artiﬁcial oocyte activation
and intracytoplasmic sperm injection. Fertil Steril 2010;94:520–526.
Palermo GD, Neri QV, Takeuchi T, Rosenwaks Z. ICSI: where we have
been and where we are going. Semin Reprod Med 2009;27:191–201.
Parrington J, Davis LC, Galione A, Wessel G. Flipping the switch: how a
sperm activates the egg at fertilization. Dev Dyn 2007;236:2027–2038.
Rawe VY, Olmedo SB, Nodar FN, Doncel GD, Acosta AA, Vitullo AD.
Cytoskeletal organization defects and abortive activation in human
oocytes after IVF and ICSI failure. Mol Hum Reprod 2000;6:510–516.
Rybouchkin A, Dozortsev D, Pelinck MJ, De Sutter P, Dhont M. Analysis of
the oocyte activation capacity and chromosomal complement of
roundheaded human spermatozoa by their injection into mouse
oocytes. Human Reprod 1996;11:2170–2175."
5,Vanden Meerschaut (2012).pdf,0.9092913564992786,"Based on the
limited data available, we were able to claim that the fertility history
of the patients in MOAT Group 3 plays a critical role in choosing the
appropriate diagnostic and therapeutic approach. Furthermore, it
was shown that ICSI-AOA is not beneﬁcial for all patients with a sus-
pected oocyte-related activation deﬁciency. As ICSI-AOA is still an
elaborate and experimental technique, it should only be considered
in case of a well-diagnosed indication.
Supplementary data
Supplementary data are available at http://humrep.oxfordjournals.
org/.
Authors’ roles
F.V.M. analysed the data, interpreted the results and wrote the manu-
script; D.N. contributed to interpreting the results; S.D, V.D. and B.H.
performed the assisted oocyte activation; E.V.A and J.G. revised the
manuscript; B.H. and P.D.S. designed the study, revised the manu-
script and approved the ﬁnal draft.
Funding
F.V.M. is the holder of an aspirant clinical research mandate by the
Flemish Foundation of Scientiﬁc Research (FWO-Vlaanderen). P.D.S.
is the holder of a fundamental clinical research mandate by the
same Flemish foundation of Scientiﬁc Research (FWO-Vlaanderen).
Conﬂict of interest
None declared.
References
Ajduk A, Malagocki A, Maleszewski M. Cytoplasmic maturation of
mammalian oocytes: development of a mechanism responsible for
sperm-induced Ca2+ oscillations. Reprod Biol 2008;8:3–22.
Araki Y, Yoshizawa M, Abe H, Murase Y, Araki Y. Use of mouse oocytes
to evaluate the ability of human sperm to activate oocytes after failure of
activation
by
intracytoplasmic
sperm
injection.
Zygote
2004;
12:111–116.
Borges E Jr, de Almeida Ferreira Braga DP, de Sousa Bonetti TC,
Iaconelli A Jr, Franco JG Jr."
6,Mateizel (2022).pdf,0.9090373710555659,"https://​doi.​org/​10.​1016/j.​fertn​stert.​2016.​04.​
025
	24.	 Mateizel I, Verheyen G, Van de Velde H, Tournaye H, Belva F. 
Obstetric and neonatal outcome following ICSI with assisted 
oocyte activation by calcium ionophore treatment. J Assist 
Reprod Genet. 2018;35(6):1005–10. https://​doi.​org/​10.​1007/​
s10815-​018-​1124-6.
	25.	 Li B, Zhou Y, Yan Z, Li M, Xue S, Cai R, Fu Y, Hong et al. 
Pregnancy and neonatal outcomes of artificial oocyte activation 
in patients undergoing frozen-thawed embryo transfer: a 6-year 
population-based retrospective study. Arch Gynecol Obstet. 2019 
Oct;300(4):1083–92. https://​doi.​org/​10.​1007/​s00404-​019-​05298-3
	26.	 Moaz MN, Khattab S, Foutouh IA, Mohsen EA. Chemical activa-
tion of oocytes in different types of sperm abnormalities in cases 
of low or failed fertilization after ICSI: a prospective pilot study. 
Reprod Biomed Online. 2006;13(6):791–4. https://​doi.​org/​10.​
1016/​s1472-​6483(10)​61025-5.
	27.	 Heindryckx B, De Gheselle S, Gerris J, Dhont M, De Sutter P. 
Efficiency of assisted oocyte activation as a solution for failed 
intracytoplasmic sperm injection. Reprod Biomed Online. 
2008;17(5):662–8. https://​doi.​org/​10.​1016/​s1472-​6483(10)​
60313-6.
Publisher's Note  Springer Nature remains neutral with regard to 
jurisdictional claims in published maps and institutional affiliations."
7,Mansour (2009).pdf,0.9082362020149205,"Electrical activation of oocytes after intracytoplasmic
sperm injection: a controlled randomized study
Ragaa Mansour, M.D., Ph.D., Ibrahim Fahmy, M.D., Nevine A. Tawab, B.Sc., Ahmed Kamal, M.D.,
Yehia El-Demery, B.Sc., Mohamed Aboulghar, M.D., and Gamal Serour, M.D., F.R.C.O.G.
Egyptian IVF-ET Center, Cairo, Egypt
Objective: To evaluate the electrical activation of oocytes in patients with previously failed or limited fertilization
after intracytoplasmic sperm injection (ICSI) and in patients with possible failure of fertilization.
Design: Prospective randomized study.
Setting: A private IVF center in Egypt.
Patient(s): Two hundred forty-six patients with severe oligoasthenospermia or nonobstructive azoospermia with
total teratospermia or totally immotile spermatozoa were selected for the study. Patients who previously had total
failure or limited fertilization after ICSI also were included.
Intervention(s): Sibling oocytes were randomly divided after ICSI into two groups: the study group (n ¼ 1,640)
was subjected to electroactivation, and the control group (n ¼ 1,435), to no electroactivation. Electroactivation was
performed by using a double-square direct-current pulse. Embryo transfer was performed with the best available
embryos.
Main Outcome Measure(s): Fertilization rate, degeneration rate, and pregnancy outcome.
Result(s): Two hundred forty-one ICSI cycles were included in the study. The fertilization rate was statistically
signiﬁcantly higher in the electroactivated group as compared with in the control group (68% vs 60%, odds ratio
¼ 1.397, 95% conﬁdence interval ¼ 1.197 to 1.629). The oocyte degeneration rate was not statistically signiﬁcantly
different between the two groups (5.9% vs 4.9%, odds ratio ¼ 0.96, 95% conﬁdence interval ¼ 0.73 to 1.26). In
total, 112 clinical pregnancies resulted (pregnancy rate ¼ 46.5%)."
8,Nasr‐Esfahani (2008).pdf,0.9079509447076552,"The results of Table 2 reveal that not only the fertilization
rate has been improved by artiﬁcial oocyte activation, but in
addition, cleavage rate 72 hours post-ICSI. Therefore, it can
be concluded that in cases with severe teratozoospermia ar-
tiﬁcial oocyte activation may improve fertilization and cleav-
age rate 72 hours after ICSI. These results are consistent with
the results obtained using different artiﬁcial activation proto-
col for bovine oocytes, which suggests that different activa-
tion protocols affect the developmental competence or
blastocyst rate (45). Furthermore, addition of protein kinase
inhibitor, like 6-DAMP, to activation protocol in bovine
oocytes, signiﬁcantly improves the blastocyst rate (45, 46).
Thus, proper activation of oocytes may help the developmen-
tal competence of the oocytes and explain the increased
cleavage and embryo quality rate observed in the AOA
group.
The results of this study also reveal that in the control
group, as expected, the fertilization rate is slightly, but insig-
niﬁcantly (P¼.088) higher in the semen sample when motile
sperm are available for ICSI, compared with cases where mo-
tile sperm are not available for ICSI. However, in the artiﬁ-
cially activated oocyte subgroup with immotile sperm the
fertilization rate improves and is not signiﬁcantly different
from the artiﬁcial oocyte activated subgroup with motile
sperm, thus concluding that artiﬁcial activation has a greater
effect on fertilization rate in the semen samples with immo-
tile sperm compared with those with the motile sperm. Naka-
gawa et al. (25) found that 84.9% of failed fertilized oocytes
after ICSI-exposed calcium ionophore A23187 and puromy-
cin were activated, and about 64% were cleaved. They further
reported that oocyte activation improves fertilization rate of
semen samples with the immotile sperm, which is inconsis-
tent with our results.
In the present study, sperm abnormality was not catego-
rized; however, a recent study by Moaz et al."
9,Caglar Aytac (2015).pdf,0.907424793345581,"2.
Van Steirteghem AC, Nagy Z, Joris H, Liu J, Staessen C, Smitz J, et al. High
fertilization and implantation rates after intracytoplasmic sperm injection.
Hum Reprod 1993;8:1061–6.
3.
Luna M, Bigelow C, Duke M, Ruman J, Sandler B, Grunfeld L, et al. Should
ICSI be recommended routinely in patients with four or fewer oocytes
retrieved? J Assist Reprod Genet 2011;28:911–5.
4.
Krog M, Prior M, Carlsen E, Loft A, Forman J, Pinborg A, et al. Fertilization
failure after IVF in 304 couples—a case-control study on predictors and
long-term prognosis. Eur J Obstet Gynecol Reprod Biol 2015;184:32–7.
5.
Montag M, K€oster M, van der Ven K, Bohlen U, van der Ven H. The beneﬁt of
artiﬁcial oocyte activation is dependent on the fertilization rate in a previous
treatment cycle. Reprod Biomed Online 2012;24:521–6.
6.
Nasr-Esfahani MH, Deemeh MR, Tavalaee M. Artiﬁcial oocyte activation and
intracytoplasmic sperm injection. Fertil Steril 2010;94:520–6.
7.
Ebner T, K€oster M, Shebl O, Moser M, Van der Ven H, Tews G, et al. Appli-
cation of a ready-to-use calcium ionophore increases rates of fertilization
and pregnancy in severe male factor infertility. Fertil Steril 2012;98:
1432–7.
8.
Heindryckx B, Van der Elst J, De Sutter P, Dhont M. Treatment option
for sperm-or oocyte-related fertilization failure: assisted oocyte activa-
tion following diagnostic heterologous ICSI. Hum Reprod 2005;20:
2237–41.
9."
10,Nasr‐Esfahani (2008).pdf,0.9062306967125906,"Artiﬁcial oocyte activation in severe teratozoospermia
undergoing intracytoplasmic sperm injection
Mohammad H. Nasr-Esfahani, Ph.D,a,b Shahnaz Razavi, Ph.D.,c Zeinab Javdan, M.D.,c
and Marzeyeh Tavalaee, M.Sc.a
a Department of Embryology and Andrology, Royan Institute, Tehran, Iran; b Isfahan Fertility and Infertility Center, Isfahan, Iran;
and c Department of Anatomy, Isfahan Medical University, Isfahan, Iran
Objective: To evaluate efﬁciency of Ionomycin on fertilization and cleavage rates, embryo development, and preg-
nancy rate after intracytoplasmic sperm injection (ICSI) in teratozoospermic patients.
Design: Laboratory study.
Setting: Isfahan fertility and infertility Center, and Royan institute, Tehran, Iran.
Patient(s): Eighty-seven couples with male factor etiology (severe teratozoospermia) undergoing ICSI.
Intervention(s): Ionomycin for artiﬁcial oocyte activation.
Main Outcome Measure(s): After oocyte collection, the oocytes were randomly divided into two groups: control
and artiﬁcial oocyte activation (AOA). The injected oocytes in the control group were cultured in G1. The remain-
ing oocytes were chemically activated by exposure to 10 mM Ionomycin for 10 minutes. Around 16 to 18 hours
after ICSI, fertilization was assessed by the presence of pronuclei. The percentage of cleavage and high-quality
embryos were calculated 48 and 72 hours after ICSI. Clinical pregnancy also was determined based on ultrasound
observation of a fetal heart beat.
Result(S): There are signiﬁcant differences in the mean of fertilization and cleavage rates 72 hours after ICSI be-
tween AOA and control groups. In patients who had no fertilization in the control group and all the embryos for
transfer derived from the AOA group, two pregnancies were recorded."
